,topic_0,topic_1,topic_2,topic_3
ACTA2,1.3102382013049972e-07,0.10469531667359173,0.01546142183569084,0.12749659489157217
SFRP5,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
SCD,0.07405479416157858,0.0014247046951979582,0.0014329984505423103,0.007958159251947415
FGF8,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
DMBT1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
GPR26,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TCERG1L,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MUC6,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
KRTAP5-6,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TRPM5,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
HBB,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
C11orf96,1.3102382013049972e-07,0.04594301656081202,0.021875843454790822,0.02142555438225977
APLNR,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MS4A1,1.3102382013049972e-07,0.006292040125838428,0.10789573649222772,0.007575562799381724
SCGB2A2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TSKU,0.06594441969550065,0.007657268356383926,0.0058647806601022975,0.012197327946375281
FAM181B,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MMP7,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MMP1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MMP12,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
NXPE2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
NHERF4,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MCAM,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
VWF,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PIANP,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
GPRC5A,0.07476232279028328,0.0038108862111948714,0.0020827710301394515,0.01089650000765193
C1QL4,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
GPD1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
NR4A1,0.011477817667251906,0.034498842523891494,0.027907065860282236,0.016574231363726797
KRT78,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
HOXC9,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
KERA,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CCDC122,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CTSG,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
GZMB,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TNFAIP2,0.017583527685333195,0.010031578322550009,0.033138568167807934,0.025481076779456102
ACTC1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
UACA,1.3102382013049972e-07,0.04039900278981421,0.012729044834307993,0.024654668441914208
ODF3L1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
SLC28A1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
HBA2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ZSCAN10,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PLA2G10,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MYH11,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
UMOD,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CES1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CCL22,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TAT,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
HP,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
SYCE1L,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CLEC10A,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TMEM95,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
SHBG,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
GRB7,0.0845235973900055,1.1871549830830415e-07,1.6660835374285667e-07,0.003428217253569625
KRT15,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
KRT14,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
KRT17,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ETV4,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MYCBPAP,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ITGB4,0.06665194832420535,0.022591678043568587,0.004132053781176588,0.0023110356120778046
NOTUM,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ADCYAP1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CIDEA,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CHST9,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
DSC1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
KLHL14,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CDH19,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ODF3L2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CFD,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PLIN4,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ZNF878,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
NOTCH3,0.07080540342234218,0.11263738351041729,0.02127605338131654,0.018089313315886934
PLVAP,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
COMP,0.0033805455831870234,0.012690805484656021,1.6660835374285667e-07,0.07091823148615767
ZNF461,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
APOC4,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
NLRP8,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ZNF773,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TMC2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
JAG1,0.008241529310028563,0.046809639698462635,0.011329534662867995,0.009014125461028725
NNAT,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
LBP,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
WFDC2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MMP9,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
OCSTAMP,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
GRIK1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
S100B,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
IGLC7,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MMP11,0.003577081313382773,0.0274352703745474,0.006564535745822295,0.04601885435318244
C22orf23,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
SMPX,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
GAGE10,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ENSG00000283599,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
VGLL1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
